Date,Open,High,Low,Close,Adj Close,Volume
2021-12-22,111.500000,113.099998,111.000000,112.885002,50.179073,43669170
2021-12-23,113.800003,114.680000,112.019997,112.764999,50.125729,46214780
2021-12-24,113.004997,113.345001,110.385002,111.544998,49.583420,40936300
2021-12-27,111.105003,112.470001,110.235001,112.180000,49.865688,27588510
2021-12-28,112.699997,113.150002,112.199997,112.745003,50.116840,28807810
2021-12-29,112.000000,112.665001,110.800003,111.625000,49.618980,41935200
2021-12-30,111.790001,112.699997,109.900002,110.099998,48.941097,41140930
2021-12-31,110.500000,112.349998,110.264999,111.144997,49.405613,36870210
2022-01-03,111.500000,115.099998,111.500000,114.245003,50.783611,38658030
2022-01-04,115.300003,115.970001,113.650002,114.879997,51.065876,59757310
2022-01-05,114.699997,118.080002,114.125000,117.760002,52.346085,61861760
2022-01-06,117.199997,118.300003,115.555000,116.324997,51.708202,53354000
2022-01-07,116.519997,117.400002,114.785004,116.035004,51.579296,39738570
2022-01-10,116.500000,117.339996,115.385002,116.904999,51.966022,38225000
2022-01-11,115.864998,116.269997,111.300003,113.025002,50.241302,96978850
2022-01-12,113.985001,115.080002,113.239998,114.720001,50.994755,50358430
2022-01-13,115.400002,122.550003,115.214996,122.114998,54.281944,157231160
2022-01-14,121.300003,122.629997,120.610001,121.360001,53.946339,52679070
2022-01-17,121.500000,124.500000,119.035004,122.974998,54.664227,89696070
2022-01-18,123.000000,123.375000,119.000000,119.485001,53.112869,58408970
2022-01-19,119.599998,122.089996,118.300003,120.959999,53.768528,73043210
2022-01-20,121.010002,122.400002,119.699997,120.669998,53.639618,59205970
2022-01-21,120.000000,120.430000,115.635002,116.970001,51.994915,71662670
2022-01-24,116.000000,116.364998,109.000000,109.919998,48.861084,83920760
2022-01-25,109.470001,112.099998,108.705002,110.910004,49.301155,57330630
2022-01-27,109.000000,110.345001,106.129997,108.834999,48.378784,90566560
2022-01-28,110.584999,112.574997,108.095001,108.464996,48.214314,78648930
2022-01-31,110.989998,111.459999,108.050003,108.555000,48.254322,55709390
2022-02-01,110.489998,117.445000,108.639999,116.735001,51.890457,170752680
2022-02-02,117.989998,117.989998,115.830002,116.750000,51.897121,75247340
2022-02-03,115.300003,118.169998,114.629997,116.660004,51.857117,65140900
2022-02-04,117.379997,119.775002,117.025002,117.629997,52.288292,93174180
2022-02-07,116.830002,121.459999,116.099998,118.300003,52.586121,145105250
2022-02-08,119.500000,122.239998,117.150002,121.959999,54.213043,140839840
2022-02-09,123.099998,123.400002,120.815002,122.235001,54.335285,73520600
2022-02-10,123.000000,125.425003,122.599998,124.834999,55.491024,93920570
2022-02-11,123.900002,126.495003,123.309998,125.445000,55.762177,96762260
2022-02-14,122.010002,122.775002,118.010002,118.684998,52.757259,80216130
2022-02-15,119.684998,121.199997,115.154999,120.775002,53.686295,101889210
2022-02-16,121.500000,121.790001,118.650002,119.180000,52.977291,66092140
2022-02-17,120.110001,120.949997,118.614998,119.095001,52.939510,56557920
2022-02-18,118.699997,120.500000,118.300003,119.080002,52.932842,47251200
2022-02-21,118.800003,120.199997,117.440002,118.184998,52.535000,49787320
2022-02-22,115.800003,116.665001,111.925003,113.870003,50.616920,93858570
2022-02-23,114.800003,115.260002,113.400002,113.900002,50.630253,49608380
